rule_id,cwe_id,is_string_concat,is_parameterized_query,has_sanitizer_nearby,in_test_file,is_in_vendor_or_generated_dir,taint_source_distance,function_complexity,code_snippet_length,variable_name_entropy,is_user_input_direct,has_type_validation,is_third_party_lib_call,same_finding_seen_before_count,developer_dismissed_similar_before,file_change_frequency,is_authenticated_endpoint,label
xss-unescaped,CWE-79,1,0,1,0,0,10,1,357,2.69,0,1,1,4,1,14,1,0
xss-unescaped,CWE-79,0,1,0,0,0,2,10,245,1.6,0,0,1,5,1,11,0,0
xss-unescaped,CWE-79,1,0,1,0,0,9,30,266,4.4,1,0,0,1,0,14,1,1
ssrf-request,CWE-918,1,0,0,0,0,1,9,294,1.87,1,1,1,5,0,14,1,1
sqli-concat,CWE-89,1,0,0,0,0,15,30,378,2.41,0,0,1,4,1,7,0,1
xss-unescaped,CWE-79,0,1,1,0,0,18,14,320,3.73,1,0,1,9,0,17,0,0
insecure-deserialize,CWE-502,1,0,0,0,0,8,28,205,1.8,1,0,0,3,1,29,0,1
insecure-deserialize,CWE-502,0,0,0,0,0,8,5,309,2.12,0,0,1,3,0,9,0,0
hardcoded-secret,CWE-798,0,0,1,0,0,4,22,33,1.9,0,1,0,4,0,47,1,0
ssrf-request,CWE-918,0,0,1,0,0,12,17,323,1.83,0,1,0,0,0,30,1,0
path-traversal,CWE-22,0,1,1,0,0,3,11,331,1.95,1,1,1,8,0,32,1,0
sqli-concat,CWE-89,0,0,1,0,0,8,14,193,3.98,0,1,0,10,0,9,1,0
sqli-concat,CWE-89,0,0,0,0,0,12,26,86,3.17,1,0,0,10,1,27,0,1
hardcoded-secret,CWE-798,1,0,1,0,0,17,7,99,3.47,0,1,1,5,0,17,0,0
path-traversal,CWE-22,0,1,0,0,0,10,30,193,2.55,0,1,0,10,1,5,0,0
path-traversal,CWE-22,1,0,1,0,1,12,10,389,2.47,0,0,0,9,0,5,1,0
path-traversal,CWE-22,1,0,1,0,0,14,9,130,3.76,1,0,0,10,0,33,1,1
sqli-concat,CWE-89,0,1,0,0,0,10,7,90,3.79,0,0,0,6,0,24,0,0
ssrf-request,CWE-918,1,0,0,0,0,2,14,29,2.88,1,1,0,10,0,7,1,1
sqli-concat,CWE-89,1,0,0,0,0,20,15,373,4.26,0,0,0,6,0,25,1,1
insecure-deserialize,CWE-502,1,0,0,0,0,6,3,281,3.4,0,1,0,10,1,15,0,0
xss-unescaped,CWE-79,1,0,0,0,1,5,25,355,1.73,1,1,1,9,0,36,1,1
insecure-deserialize,CWE-502,1,0,0,0,0,16,15,343,2.41,0,1,0,4,0,2,0,0
hardcoded-secret,CWE-798,1,0,0,0,0,3,20,324,3.02,0,1,1,9,0,20,1,0
ssrf-request,CWE-918,0,0,1,0,0,11,23,63,3.01,0,1,1,8,0,10,1,0
hardcoded-secret,CWE-798,1,0,1,0,0,11,22,326,1.66,1,0,0,8,0,18,1,1
insecure-deserialize,CWE-502,0,1,0,0,0,5,30,199,2.43,1,0,0,1,0,24,1,0
xss-unescaped,CWE-79,0,1,1,0,0,10,6,129,2.53,0,0,1,2,0,50,0,0
ssrf-request,CWE-918,0,1,0,0,0,5,6,112,3.99,0,1,0,5,0,15,1,0
ssrf-request,CWE-918,1,0,1,0,0,8,10,260,4.21,1,1,1,6,0,26,0,1
xss-unescaped,CWE-79,0,1,0,0,0,12,18,72,3.63,0,1,0,2,0,32,0,0
path-traversal,CWE-22,0,0,1,1,0,1,14,47,2.69,1,0,0,0,0,6,1,0
xss-unescaped,CWE-79,0,0,1,1,0,16,23,91,3.78,0,0,0,3,1,35,1,0
sqli-concat,CWE-89,1,0,0,0,0,2,8,234,3.42,0,0,1,7,0,1,0,1
insecure-deserialize,CWE-502,0,1,1,0,0,12,8,312,2.75,0,1,0,8,0,50,0,0
path-traversal,CWE-22,1,0,0,0,0,12,9,28,2.57,0,0,1,5,0,22,1,1
insecure-deserialize,CWE-502,0,1,1,0,0,5,3,386,3.83,1,0,0,3,1,20,1,0
ssrf-request,CWE-918,1,0,1,0,0,7,10,202,4.09,1,1,0,5,0,25,1,0
path-traversal,CWE-22,1,0,0,0,0,16,12,285,2.3,1,0,0,2,0,20,0,1
sqli-concat,CWE-89,1,0,1,0,0,20,23,238,2.0,1,0,0,5,0,27,1,1
insecure-deserialize,CWE-502,0,0,1,0,0,6,1,93,4.05,1,0,0,3,1,23,1,0
path-traversal,CWE-22,0,0,1,1,0,12,15,59,3.22,1,1,0,3,1,1,0,0
path-traversal,CWE-22,1,0,0,0,0,9,23,248,2.14,1,0,0,1,0,45,1,1
sqli-concat,CWE-89,1,0,1,0,0,18,18,168,4.17,0,1,0,1,1,50,0,0
xss-unescaped,CWE-79,1,0,0,0,0,19,12,259,3.91,0,0,0,7,0,49,1,1
ssrf-request,CWE-918,0,0,1,0,0,15,15,368,3.05,0,0,0,0,1,33,0,0
hardcoded-secret,CWE-798,0,0,1,1,0,8,12,285,4.18,1,0,0,8,0,40,1,0
ssrf-request,CWE-918,0,0,0,0,1,20,24,329,2.51,0,0,0,10,1,16,0,0
ssrf-request,CWE-918,1,0,0,0,0,18,10,348,4.37,1,1,0,0,0,26,1,1
path-traversal,CWE-22,0,1,0,0,0,11,24,196,4.43,1,0,0,7,0,28,0,0
xss-unescaped,CWE-79,0,0,1,1,1,20,14,147,4.39,1,1,0,2,0,32,1,0
path-traversal,CWE-22,1,0,1,0,0,13,17,254,4.4,1,0,0,7,0,41,1,1
hardcoded-secret,CWE-798,0,0,1,0,0,9,24,207,3.79,1,0,0,3,0,18,0,1
path-traversal,CWE-22,1,0,1,0,1,20,22,332,1.86,1,1,1,5,0,23,0,0
xss-unescaped,CWE-79,1,0,0,0,0,5,23,190,3.91,0,0,0,9,0,25,1,1
ssrf-request,CWE-918,1,0,1,0,0,10,16,28,2.61,1,1,1,10,0,30,1,0
insecure-deserialize,CWE-502,0,0,1,0,0,20,25,214,1.94,0,0,0,7,0,9,1,0
insecure-deserialize,CWE-502,0,1,1,1,0,2,23,90,3.06,1,1,0,2,0,34,1,0
ssrf-request,CWE-918,1,0,1,0,0,7,8,162,3.17,1,1,0,7,0,22,1,1
hardcoded-secret,CWE-798,0,1,1,0,0,5,10,41,2.36,1,1,0,7,0,34,1,0
ssrf-request,CWE-918,1,0,0,0,1,19,8,144,1.65,0,0,0,6,0,30,0,0
insecure-deserialize,CWE-502,0,0,0,0,1,16,16,353,2.1,1,1,0,1,0,14,0,0
xss-unescaped,CWE-79,1,0,0,1,0,2,27,223,3.86,1,0,0,9,0,21,1,1
path-traversal,CWE-22,1,0,0,1,0,15,9,118,3.93,1,1,0,0,1,50,1,0
ssrf-request,CWE-918,0,0,1,0,0,17,11,64,2.7,0,1,0,3,0,24,0,0
path-traversal,CWE-22,1,0,1,0,0,19,1,153,3.46,0,0,0,2,0,32,1,0
insecure-deserialize,CWE-502,0,1,1,0,0,8,5,264,1.96,1,1,0,7,1,42,0,0
xss-unescaped,CWE-79,0,1,1,0,1,19,4,51,3.99,0,0,0,8,0,43,0,0
insecure-deserialize,CWE-502,1,0,0,1,0,15,26,48,2.86,1,0,0,10,1,46,0,0
path-traversal,CWE-22,1,0,0,0,0,19,3,43,2.77,0,0,1,7,0,26,0,0
xss-unescaped,CWE-79,1,0,1,1,0,13,15,213,2.63,0,1,0,8,0,8,0,0
sqli-concat,CWE-89,0,1,1,0,0,18,14,292,2.64,1,1,0,3,1,46,0,0
sqli-concat,CWE-89,1,0,0,0,0,3,4,324,1.6,0,0,0,6,0,34,0,1
sqli-concat,CWE-89,0,1,0,0,0,19,11,315,3.29,1,0,0,2,1,33,0,0
path-traversal,CWE-22,1,0,1,0,0,19,29,396,4.23,1,1,0,5,1,42,1,1
ssrf-request,CWE-918,1,0,1,0,0,10,13,114,3.76,0,1,1,2,1,3,1,0
path-traversal,CWE-22,0,1,0,0,0,11,21,60,4.27,0,0,0,6,0,38,0,0
sqli-concat,CWE-89,0,0,1,0,0,11,10,27,2.14,0,1,1,9,1,25,0,0
ssrf-request,CWE-918,1,0,1,0,0,18,21,203,2.43,1,1,0,7,1,20,0,0
hardcoded-secret,CWE-798,1,0,1,0,0,8,24,94,1.55,1,1,0,5,0,36,0,1
path-traversal,CWE-22,1,0,1,0,0,16,24,348,3.72,1,0,0,8,0,34,0,1
ssrf-request,CWE-918,0,0,0,0,0,14,5,342,2.19,0,0,0,5,0,40,1,0
insecure-deserialize,CWE-502,1,0,0,0,0,18,14,26,1.55,1,0,0,10,0,11,0,1
sqli-concat,CWE-89,0,0,0,0,0,9,27,201,2.3,1,1,0,3,1,14,1,0
insecure-deserialize,CWE-502,0,0,0,0,0,13,18,263,1.67,0,0,0,6,0,21,0,1
ssrf-request,CWE-918,0,0,0,1,0,19,16,158,1.64,1,0,0,5,0,13,0,0
insecure-deserialize,CWE-502,1,0,0,0,0,19,8,310,4.0,1,1,1,2,1,44,0,0
ssrf-request,CWE-918,1,0,0,0,0,8,27,58,2.52,1,1,0,4,1,28,1,1
xss-unescaped,CWE-79,1,0,1,0,0,19,22,214,1.76,0,0,0,2,0,50,0,1
insecure-deserialize,CWE-502,1,0,1,0,0,3,1,177,2.83,0,0,0,6,0,35,1,1
sqli-concat,CWE-89,0,0,1,0,0,20,20,186,4.09,1,1,1,8,1,15,0,0
insecure-deserialize,CWE-502,1,0,0,0,0,10,9,272,1.94,1,1,0,1,0,15,1,1
ssrf-request,CWE-918,0,1,0,0,0,1,13,190,4.02,1,1,0,10,1,8,1,0
hardcoded-secret,CWE-798,0,1,1,0,0,13,11,169,3.7,0,1,0,6,0,36,0,0
ssrf-request,CWE-918,0,0,1,1,0,7,15,169,3.99,1,1,0,4,0,42,0,0
insecure-deserialize,CWE-502,1,0,1,0,0,20,16,318,2.7,1,0,1,5,1,34,0,1
sqli-concat,CWE-89,0,1,0,0,0,2,19,350,3.53,1,1,0,1,0,32,0,1
path-traversal,CWE-22,1,0,1,0,1,19,23,276,1.95,1,0,0,1,0,46,0,1
hardcoded-secret,CWE-798,1,0,1,0,0,7,17,267,2.54,1,1,0,0,1,7,0,1
hardcoded-secret,CWE-798,0,0,0,0,1,18,6,189,3.18,0,1,0,2,0,27,1,0
sqli-concat,CWE-89,0,1,1,0,0,7,7,162,3.76,0,0,1,8,0,20,0,0
path-traversal,CWE-22,0,1,1,0,0,11,20,218,3.33,1,1,1,9,0,43,1,0
ssrf-request,CWE-918,0,0,1,0,0,10,4,113,2.62,1,1,0,9,0,11,1,0
insecure-deserialize,CWE-502,0,0,1,0,0,6,11,250,3.36,0,1,0,6,1,32,1,0
path-traversal,CWE-22,1,0,1,0,0,15,16,105,1.75,0,1,0,3,0,10,1,0
ssrf-request,CWE-918,1,0,0,0,0,9,25,298,3.97,0,1,0,6,0,41,0,1
hardcoded-secret,CWE-798,0,1,1,0,0,3,15,80,3.83,1,1,0,2,1,13,0,0
ssrf-request,CWE-918,1,0,1,0,0,6,11,380,2.38,0,0,1,6,1,17,0,0
insecure-deserialize,CWE-502,0,0,0,0,0,8,25,366,2.68,1,1,0,1,0,49,0,1
path-traversal,CWE-22,1,0,1,0,0,16,11,317,1.51,0,1,0,5,1,50,1,0
xss-unescaped,CWE-79,1,0,0,0,0,11,27,165,2.51,1,1,1,0,0,40,1,1
sqli-concat,CWE-89,0,0,1,0,0,14,7,372,4.23,1,0,1,4,0,23,1,0
sqli-concat,CWE-89,1,0,0,0,0,10,24,378,3.77,0,0,0,7,0,37,0,1
ssrf-request,CWE-918,1,0,0,0,0,11,27,81,4.46,0,1,0,6,0,6,0,1
hardcoded-secret,CWE-798,1,0,1,0,0,5,21,366,1.93,0,0,0,3,0,9,1,0
ssrf-request,CWE-918,1,0,0,0,0,4,5,83,3.27,1,1,1,3,0,5,0,1
ssrf-request,CWE-918,1,0,0,0,0,10,7,285,3.32,1,1,0,3,0,7,0,1
path-traversal,CWE-22,0,0,1,1,0,5,13,311,2.76,0,1,1,1,0,4,0,0
hardcoded-secret,CWE-798,0,0,0,1,0,13,17,166,3.39,1,1,0,1,0,34,0,1
hardcoded-secret,CWE-798,0,1,0,0,0,7,26,99,3.11,0,1,0,3,0,5,1,0
sqli-concat,CWE-89,1,0,0,0,0,6,4,26,3.62,0,1,1,8,0,46,1,0
xss-unescaped,CWE-79,1,0,0,0,0,9,24,80,3.81,1,1,0,4,1,36,0,1
path-traversal,CWE-22,1,0,1,0,0,19,6,208,1.97,0,0,0,0,0,0,0,1
sqli-concat,CWE-89,1,0,1,0,1,5,6,38,3.16,1,0,0,6,1,20,1,0
sqli-concat,CWE-89,1,0,0,0,1,2,6,134,3.91,1,0,1,4,1,19,1,1
sqli-concat,CWE-89,1,0,0,0,0,10,19,175,3.72,1,1,1,3,1,34,0,1
xss-unescaped,CWE-79,0,1,0,0,1,12,21,375,4.13,0,1,1,4,0,33,0,0
path-traversal,CWE-22,1,0,0,1,1,5,23,163,1.78,1,1,0,1,0,32,0,0
insecure-deserialize,CWE-502,1,0,0,0,0,2,14,359,4.39,1,1,1,6,1,47,1,0
hardcoded-secret,CWE-798,1,0,1,0,0,7,5,319,1.83,1,1,0,1,0,49,0,0
path-traversal,CWE-22,1,0,1,0,0,4,3,100,3.92,0,0,1,5,0,45,0,1
hardcoded-secret,CWE-798,1,0,0,0,0,9,27,109,1.59,1,0,0,1,1,8,0,1
sqli-concat,CWE-89,0,0,0,0,0,13,12,371,3.39,1,0,0,1,0,41,1,0
xss-unescaped,CWE-79,0,1,0,0,0,15,2,106,4.27,1,1,0,10,0,22,0,0
xss-unescaped,CWE-79,1,0,1,0,0,5,2,334,3.36,1,1,0,8,0,5,1,0
path-traversal,CWE-22,0,1,0,0,0,17,8,342,4.48,0,1,1,5,0,50,1,0
hardcoded-secret,CWE-798,1,0,1,0,0,1,11,325,2.16,1,0,1,7,0,49,0,1
xss-unescaped,CWE-79,0,0,0,0,1,2,25,132,3.23,1,1,1,2,0,37,1,0
insecure-deserialize,CWE-502,1,0,0,0,1,12,19,308,1.93,1,1,0,0,0,14,0,0
sqli-concat,CWE-89,1,0,0,0,0,20,7,86,2.52,1,0,0,9,1,9,0,1
ssrf-request,CWE-918,1,0,0,0,0,13,19,71,2.51,0,1,1,7,0,11,1,0
xss-unescaped,CWE-79,0,1,1,0,1,10,5,110,3.69,1,0,0,5,1,39,0,0
insecure-deserialize,CWE-502,0,1,0,0,0,3,8,197,4.45,0,1,0,4,0,44,0,0
hardcoded-secret,CWE-798,1,0,0,0,1,2,13,244,3.7,1,1,1,5,0,6,1,0
ssrf-request,CWE-918,0,0,1,0,1,2,10,30,2.46,0,1,0,6,0,4,0,0
hardcoded-secret,CWE-798,1,0,0,0,0,6,20,242,1.97,0,0,0,8,1,46,1,0
insecure-deserialize,CWE-502,1,0,1,0,0,2,13,312,3.15,0,1,0,1,0,42,1,0
xss-unescaped,CWE-79,0,0,0,0,0,10,3,262,4.03,1,1,0,10,0,41,1,0
xss-unescaped,CWE-79,1,0,1,0,0,15,2,154,2.82,1,0,0,10,0,42,1,1
ssrf-request,CWE-918,1,0,0,0,0,13,27,287,2.76,1,0,0,1,0,45,0,1
ssrf-request,CWE-918,0,0,1,0,0,6,7,118,1.88,1,0,1,10,0,38,1,0
hardcoded-secret,CWE-798,0,0,1,0,1,18,11,161,3.06,0,1,0,2,0,37,0,0
sqli-concat,CWE-89,0,1,1,1,0,9,13,355,2.96,0,0,0,2,0,43,1,0
sqli-concat,CWE-89,1,0,1,0,0,2,24,263,4.26,0,1,1,4,0,31,0,0
xss-unescaped,CWE-79,0,1,1,0,0,11,9,393,2.75,0,1,0,6,1,48,1,0
sqli-concat,CWE-89,0,0,1,0,0,13,5,288,4.14,0,0,1,3,0,3,1,0
insecure-deserialize,CWE-502,0,1,1,0,0,17,13,345,4.27,0,1,0,7,0,30,1,0
hardcoded-secret,CWE-798,0,1,0,0,0,13,2,103,4.06,0,0,0,10,0,41,1,0
ssrf-request,CWE-918,0,0,1,1,0,6,20,24,2.17,1,1,0,6,1,29,1,0
xss-unescaped,CWE-79,1,0,1,0,0,20,13,319,1.81,1,1,0,1,0,21,1,1
insecure-deserialize,CWE-502,1,0,1,0,0,10,7,96,3.05,0,1,0,10,0,1,1,0
hardcoded-secret,CWE-798,1,0,1,0,0,2,19,382,4.48,1,0,0,10,1,42,1,1
ssrf-request,CWE-918,1,0,0,0,0,18,6,170,1.79,1,0,1,5,0,14,1,1
xss-unescaped,CWE-79,1,0,1,0,0,11,12,153,3.26,0,1,0,10,0,39,0,0
path-traversal,CWE-22,0,0,1,0,0,14,2,97,1.91,1,1,0,2,1,31,1,0
insecure-deserialize,CWE-502,0,1,0,0,0,9,7,106,3.23,0,0,0,10,0,27,1,0
path-traversal,CWE-22,0,0,0,0,0,1,29,184,3.77,0,0,0,3,0,22,1,0
xss-unescaped,CWE-79,0,1,1,0,0,2,10,168,2.87,1,1,1,2,0,31,1,0
xss-unescaped,CWE-79,0,1,0,0,0,5,7,395,1.57,0,1,0,0,0,40,1,0
ssrf-request,CWE-918,0,0,0,0,0,1,2,373,1.85,0,1,0,2,0,43,0,0
hardcoded-secret,CWE-798,1,0,0,0,0,9,20,330,3.6,0,0,0,1,0,38,0,1
hardcoded-secret,CWE-798,0,1,1,0,0,2,18,274,4.23,1,1,0,0,0,7,1,0
xss-unescaped,CWE-79,0,0,0,1,0,8,15,171,2.29,0,0,1,5,1,20,1,0
insecure-deserialize,CWE-502,0,0,0,0,0,5,22,351,2.01,1,1,1,1,0,21,0,1
sqli-concat,CWE-89,1,0,1,1,0,9,27,217,3.57,1,0,0,0,1,10,0,1
path-traversal,CWE-22,1,0,1,0,0,13,25,203,3.33,0,1,1,1,1,28,0,0
sqli-concat,CWE-89,1,0,1,0,0,17,25,400,3.23,1,0,0,3,0,42,1,1
xss-unescaped,CWE-79,0,0,0,0,0,16,28,273,4.11,1,1,0,4,0,14,1,0
path-traversal,CWE-22,0,0,1,0,0,19,15,65,4.07,0,1,0,0,0,26,0,0
ssrf-request,CWE-918,0,0,1,1,1,18,7,355,3.51,1,0,1,7,0,49,1,0
insecure-deserialize,CWE-502,1,0,1,0,0,8,1,194,2.57,1,1,0,0,1,31,0,1
insecure-deserialize,CWE-502,1,0,0,0,0,7,7,81,4.29,1,0,0,1,1,2,0,1
path-traversal,CWE-22,1,0,0,1,1,1,17,396,1.65,1,0,0,2,1,8,0,1
path-traversal,CWE-22,1,0,1,0,0,20,30,374,3.79,1,1,0,2,0,38,1,0
insecure-deserialize,CWE-502,1,0,0,0,1,20,23,168,3.56,0,0,0,10,0,7,1,0
ssrf-request,CWE-918,1,0,1,0,0,18,10,236,3.92,0,1,0,10,0,17,0,0
hardcoded-secret,CWE-798,1,0,0,0,0,10,7,297,1.6,0,0,0,8,0,32,1,0
insecure-deserialize,CWE-502,0,1,1,0,0,11,18,47,1.54,1,0,1,10,0,37,0,0
insecure-deserialize,CWE-502,0,1,1,0,0,3,6,108,3.71,0,1,0,4,0,37,1,0
sqli-concat,CWE-89,1,0,1,0,0,5,2,98,4.29,1,1,1,8,0,50,1,0
ssrf-request,CWE-918,0,0,0,0,0,6,14,298,3.11,0,0,0,5,0,13,1,0
ssrf-request,CWE-918,0,0,1,0,0,20,30,338,2.23,1,1,1,1,0,34,1,0
sqli-concat,CWE-89,1,0,1,0,0,10,29,353,2.08,0,0,1,8,0,40,0,1
xss-unescaped,CWE-79,0,1,0,0,0,14,21,56,3.74,1,1,0,1,0,50,1,0
ssrf-request,CWE-918,0,0,1,0,0,15,21,227,2.8,0,0,0,9,0,47,0,0
insecure-deserialize,CWE-502,0,1,0,0,1,10,20,64,2.34,1,1,1,0,0,34,0,0
xss-unescaped,CWE-79,1,0,1,1,1,5,10,366,4.16,1,0,0,8,0,2,0,0
ssrf-request,CWE-918,1,0,0,0,0,12,7,231,4.22,0,0,0,9,1,12,0,0
xss-unescaped,CWE-79,0,1,0,0,0,3,9,70,2.09,1,1,0,10,0,18,0,0
xss-unescaped,CWE-79,1,0,1,0,0,20,22,176,3.58,1,1,1,2,0,15,0,0
insecure-deserialize,CWE-502,1,0,1,0,0,5,22,395,2.49,1,1,1,7,0,11,0,1
hardcoded-secret,CWE-798,0,0,1,0,0,3,24,58,4.18,0,1,1,3,1,35,1,0
ssrf-request,CWE-918,1,0,0,0,0,8,29,321,3.7,1,0,0,8,0,15,0,1
ssrf-request,CWE-918,0,1,0,0,0,19,22,94,3.71,1,0,0,7,0,16,1,0
xss-unescaped,CWE-79,0,0,1,0,0,15,29,43,1.62,0,1,1,4,0,36,0,0
path-traversal,CWE-22,1,0,1,0,1,3,17,148,2.63,1,1,1,5,0,30,0,1
ssrf-request,CWE-918,0,1,0,0,0,17,21,163,2.13,1,0,0,6,1,46,0,0
path-traversal,CWE-22,1,0,1,0,0,6,21,230,1.57,0,0,0,0,1,9,0,1
xss-unescaped,CWE-79,1,0,0,0,0,13,20,308,3.41,1,0,0,9,1,30,0,1
xss-unescaped,CWE-79,1,0,0,0,0,6,20,357,3.03,1,1,0,1,0,24,0,1
sqli-concat,CWE-89,0,0,1,0,0,20,4,110,2.93,0,0,0,10,0,38,0,0
insecure-deserialize,CWE-502,1,0,1,0,1,2,23,291,2.79,1,1,0,9,0,8,1,1
path-traversal,CWE-22,0,0,1,0,0,18,14,151,2.07,0,0,0,6,0,44,1,0
path-traversal,CWE-22,1,0,0,0,0,19,9,153,4.06,1,1,1,6,1,26,1,0
